No source,,ALCT,,,,,,CLCT,,,,,,LCT,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,,run0,run1 ,run2,run3,run4,,run0,run1,run2,run3,run4
3.55,,226.5,172.7,205,170.7,225.3,,#VALUE!,189.1,205.2,195.6,224.5,,226.6,195.5,203.8,193.6,224.9
3.6,,237,183.2,202.8,169,214.6,,#VALUE!,205.1,199.9,195.6,220.2,,231.2,185.9,201.6,192.4,219.1
3.65,,246.5,162.9,202.4,180.5,220.1,,#VALUE!,160.6,203.3,206.8,239,,242.2,178,197.1,195.4,222
3.7,,254.4,183.9,214.1,196.1,227.7,,#VALUE!,202,221.2,230.9,240.2,,236.5,180,212.5,206.2,224.5
3.75,,236,175,183,182,238.9,,#VALUE!,201,243,248.4,247.4,,219.5,177.5,215.3,214.3,224.8
3.8,,279,208,203.3,245.4,249.6,,#VALUE!,254.2,298.8,298,302.8,,236.7,194.8,237.3,233.1,231.9
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Bottom 3_1,,ALCT,,,,,,CLCT,,,,,,LCT,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,,run0,run1 ,run2,run3,run4,,run0,run1,run2,run3,run4
0,,0,-3.3,0,3.4,0,,0,5.7,0.1,6.5,-0.6,,0,-0.5,0,0.1,0
2.4,,-0.2,-4.6,-0.2,5.1,0,,0.2,-20.9,2.3,7,-1.2,,0.1,-1.4,0,0.1,-0.1
2.5,,-1,-2.5,-0.4,3.6,0.1,,-0.1,-2.5,-0.6,12,-0.9,,-0.1,-0.1,-0.1,0,0
2.6,,-2.1,-5.1,0.3,7.4,-0.1,,-0.2,-23.3,0.8,27.9,-1.9,,-1,-1.4,0,1.5,-0.2
2.7,,-1.1,-0.6,1,5.9,2.7,,1.1,17.7,-1.6,23.8,-3.9,,0.8,0.3,0.1,0.7,1.1
2.8,,4.1,-2.1,4.7,7.7,10.3,,8,-6.3,7.1,11.4,8.9,,5.8,0.7,3.6,3.2,7.4
2.85,,20.4,10.3,16,13,28.4,,21,31,14.8,19.3,22.1,,15.5,7.8,10.8,6.4,18
2.9,,41.6,22.3,38.2,32.6,45.1,,37.9,17,29.9,49.9,32.4,,33.2,19.6,27.9,22.8,31.8
2.95,,63,46.2,53.2,50,58.4,,59.2,76.5,47.5,58.6,49,,55.2,38.6,43.2,38.6,48
3,,95.9,63.8,83.2,64.1,101.3,,87.7,58.7,68.3,70.1,76.7,,77.9,58.8,62,57.7,69.8
3.05,,211,103.6,145.8,129,150.1,,251.2,81,110.1,160,115.2,,150.4,86.1,107.5,98.8,114.6
3.1,,196.6,149.3,169.2,160.8,172.8,,181.5,144.6,147.8,157.4,149.8,,179.1,134.9,142.3,145.4,150.5
3.15,,207.3,170.6,181.9,173.8,182.1,,203.4,178.8,173.1,180,169.9,,201.8,169.8,168.3,171.8,168.6
3.2,,226.6,178.3,195.3,184.7,183.9,,228.5,183.1,193.1,211.9,173.5,,227.2,195.2,189.6,193.2,175
3.25,,218.6,159.7,192.1,187.8,191,,226.8,187.2,192.4,216.6,184.1,,222.4,186.9,192.8,202.5,182.4
3.3,,229.6,163.7,188.9,190.1,197.9,,239,182,196.7,222.3,185.5,,233.5,195.7,196.3,209.1,187.6
3.35,,227.9,180.4,194,174.4,202,,238,194.9,200.2,212.5,192.8,,231,206.2,201,197.5,193
3.4,,231.1,165.3,201.7,186,215.3,,240.7,206.9,206.2,214.2,204.3,,234.6,197.6,204.9,207.3,202
3.45,,228.1,159,193.3,185.6,215.4,,240.2,192,206.2,216.9,198.2,,232.9,182.7,205.3,199.7,197
3.5,,227.4,193.4,192.7,197.3,225.7,,246.1,239.5,197.9,213.4,208.1,,235.8,208.7,196.4,198.6,207
3.55,,215.2,172.9,209.6,189.7,235.5,,241.4,161,205.7,218.4,214.3,,228.4,190.7,202.8,205.7,210.3
3.6,,221.2,168,199.9,196.6,240.8,,250.9,173.4,197.8,236.2,221.6,,233,185.6,197.7,208.6,217
3.65,,217.4,157.2,192.3,184.5,232.9,,251.4,164.7,194.2,236.4,224.4,,227.9,178.7,189.7,198.6,214.1
3.7,,231.2,150.1,246.8,190.7,269.2,,264.8,154.8,229.9,236.9,258.1,,233.6,165.1,222.8,210.2,234.4
3.75,,220.9,157.8,209.8,182.6,329.6,,262,178.8,238,260.1,284.6,,218.1,162.7,226.8,224.3,260.3
3.8,,266.7,187.5,206.6,257.2,280.5,,329.6,187.7,257.4,321.6,261.7,,234.6,187,229.3,233.7,223
