No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
2.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,-0.1,0,0,0,-0.30608266,0.323046608,0,0,0,0,0
2.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.1,0.567913871,0.398208168,0.840555933,1.071289308,0.161523304,0.710054172,0,0,0,0
2.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,5,7.042132005,9.955204188,7.845188708,7.192942499,6.299408853,2.30767606,0,0,0,0
2.85,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,11.6,13.97068124,11.81350897,18.63232318,19.89537287,17.28299352,10.47329904,0,0,0,0
2.9,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,30.8,45.20594416,44.59931476,47.77159552,52.34013478,39.89625607,31.59741066,0,0,0,0
2.95,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,63.1,71.44356502,71.94294226,80.83346222,81.72407009,69.13197407,61.77471298,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,88.1,97.79476865,100.7466664,131.4069109,118.4539892,106.9284272,95.50228616,0,0,0,0
3.05,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,136.3,153.3367453,163.6635568,187.5840657,193.2911995,162.1693971,148.0462949,0,0,0,0
3.1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,213.2,233.1854356,247.154536,239.5584409,246.3965409,231.4628945,215.6789548,0,0,0,0
3.15,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,257.1,272.4850755,294.5413079,291.2526308,288.4829066,272.9743836,264.8502062,0,0,0,0
3.2,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,287.4,299.7449413,318.6992701,299.9383754,294.4515185,293.8108898,286.3293449,0,0,0,0
3.25,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,301.8,312.2390465,318.9647422,299.6581901,312.357354,295.5876462,301.4179961,0,0,0,0
3.3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,308.7,312.1254637,322.1504075,321.0923664,307.6130728,318.2009087,295.9150763,0,0,0,0
3.35,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,306.4,322.1207478,305.0274563,301.7595799,312.816478,301.4024851,297.1576711,0,0,0,0
3.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,319.5,321.4392512,328.9199464,316.3292161,304.7052876,318.0393854,311.7137816,0,0,0,0
3.45,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,318.8,319.1675957,318.9647422,316.4693088,323.0702471,318.2009087,322.0095671,0,0,0,0
3.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,322.5,330.1851248,334.7603328,320.9522737,332.0996856,309.8016969,320.2344317,0,0,0,0
