Run 0,,,,,Run 1,,,,,Run 2,,,,,Run 3,,,,,Run 4,,,,,Run 5,,,,,Run 6,,,,,Run 7,,,,,Run 8,,,,,Run 9,,,,,Run 10,,,
Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,
Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average
2,5.7,2,9,,2,1.51,2,4.8,,2,0.1,2,8.74,,2,2.9,2,4.52,,2,2.2,2,24.41,,2,5.5,2,15.9,,2,19.3,2,22.6,,2,0,2,0,,2,0,2,0,,2,0,2,0,,2,0,2,0
3,40.9,3,26.4,,3,3.65,3,8.7,,3,0.7,3,12.3,,3,12.9,3,9.99,,3,5.6,3,62.84,,3,174.3,3,69.8,,3,435,3,79.8,,3,0,3,0,,3,0,3,0,,3,0,3,0,,3,0,3,0
3.3,78.4,3.6,66.8,,3.3,,3.6,21.83,,3.3,5.1,3.6,29.8,,3.3,161.3,3.6,29.94,,3.3,10.3,3.6,110.74,,3.3,144.6,3.6,112.3,,3.3,339.6,3.6,170,,3.3,0,3.6,0,,3.3,0,3.6,0,,3.3,0,3.6,0,,3.3,0,3.6,0
3.5,,4,607.04,,3.5,,4,128.07,,3.5,15.17,4,174,,3.5,186.4,4,138.33,,3.5,16.9,4,231.24,,3.5,331.3,4,262.4,,3.5,339,4,328,,3.5,0,4,0,,3.5,0,4,0,,3.5,0,4,0,,3.5,0,4,0
3.6,136,,,,3.6,124.54,,,,3.6,23.48,,,,3.6,190.7,,,,3.6,24.8,,,,3.6,236.8,,,,3.6,405,,,,3.6,0,,,,3.6,0,,,,3.6,0,,,,3.6,0,,
3.7,,,,,3.7,,,,,3.7,35.81,,,,3.7,177,,,,3.7,37.9,,,,3.7,624.5,,,,3.7,521,,,,3.7,0,,,,3.7,0,,,,3.7,0,,,,3.7,0,,
3.8,194,,,,3.8,,,,,3.8,64.47,,,,3.8,223.4,,,,3.8,65.3,,,,3.8,319.7,,,,3.8,510,,,,3.8,0,,,,3.8,0,,,,3.8,0,,,,3.8,0,,
4,410,,,,4,308.23,,,,4,197.41,,,,4,425.3,,,,4,418.89,,,,4,468.3,,,,4,984,,,,4,0,,,,4,0,,,,4,0,,,,4,0,,
