No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
3.8,,116,390.9,423.5,239.4,316,310.9,158.1,131.3,0,0,0,,77.9,298.7,219.8,137.7,155.6,157.3,94.9,79.3,0,0,0,,74,222.5,198.5,119.7,144,145.2,84,68.3,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background Subtracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 2_2,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,0,0.1,-0.2,-0.4,0,-0.1,0,0,0,0,,0,11.2,3.3,-1.2,2.6,0.3,-0.1,0,0,0,0,,0,0,0,0,-0.3,0,-0.1,0,0,0,0
2.4,,-0.2,-2.7,-0.1,0,0.1,0,0.2,0.2,0,0,0,,0.1,-20,-0.1,2.2,0.9,0.7,0.1,0.2,0,0,0,,0.1,-2,0,0,0.1,0,0,0.2,0,0,0
2.5,,-1,0.5,-0.4,-0.2,0,0,0,0,0,0,0,,-0.1,-3.9,-2,4.3,-0.3,0.6,0,0,0,0,0,,-0.1,0.2,-0.1,0,0,0,0,0,0,0,0
2.6,,-2.1,-3.9,0,-0.1,0,-0.1,-0.1,0,0,0,0,,-0.2,-25.3,-1.5,-0.1,-0.3,-0.5,0,-0.1,0,0,0,,-1,-1,0,0,0,-0.1,0,-0.1,0,0,0
2.7,,-1.6,1.5,0.9,0.4,1,1,-0.2,0.2,0,0,0,,2.1,8.5,1.8,0.3,4.8,0.7,-0.1,-0.1,0,0,0,,0.5,-0.2,0,0.2,0.5,0.4,-0.3,-0.2,0,0,0
2.8,,6.3,4.8,6.1,4.4,5.2,7.3,4.8,2.5,0,0,0,,17.1,7.9,12.9,12.5,9,9.8,6.7,-21.9,0,0,0,,8,4.8,5.1,4.2,4.4,5.7,4.3,0.3,0,0,0
2.85,,22.8,26.1,17.2,10.3,14.8,16.2,8,4.4,0,0,0,,33.6,73.8,29.3,21,30.7,22.9,15.9,10.1,0,0,0,,20.3,18.1,13.6,9.4,12.2,12,7.4,3,0,0,0
2.9,,44.1,36.4,38.1,32.3,29.5,28.2,20.3,15.1,0,0,0,,48.2,30.5,41.9,34.5,39.6,30.5,26.9,19.4,0,0,0,,40,34.3,32,30.6,26.1,23.9,17.4,11.2,0,0,0
2.95,,58.9,52.1,55.5,45.5,43.7,46.1,41.5,30.2,0,0,0,,70.7,56.2,63.3,44.1,50.3,50.9,43.4,30.3,0,0,0,,57.5,47.8,51.6,45.6,41.1,42.4,36.9,24.1,0,0,0
3,,96.5,77.7,78.8,63.3,70.8,76.5,45.9,45.6,0,0,0,,109.3,105.4,98.5,87.9,83.8,83.8,52.9,49.4,0,0,0,,84.3,70.9,69.3,64.2,64.3,65.1,42.7,38.3,0,0,0
3.05,,157.7,138.3,145.3,128,125.1,130.4,91,70.5,0,0,0,,248.6,134.3,142.9,137.6,121.6,121.9,98.1,72.9,0,0,0,,143.2,126.9,128.1,118.9,108.6,109.6,79.5,56,0,0,0
3.1,,194.4,168.2,170.5,148.7,158.3,163.5,131.1,115,0,0,0,,195.8,200.2,173.6,166.1,156.9,156.7,128.1,106.6,0,0,0,,188.7,167.8,163.3,152.8,150,149.8,118.2,96,0,0,0
3.15,,203.9,173.9,188.9,166.4,166.8,174.2,150,137.2,0,0,0,,208.5,182.9,192.3,189.4,169.9,171.9,150.7,126.3,0,0,0,,203.8,184.2,187.5,179.3,172.7,167.9,145.1,120.4,0,0,0
3.2,,217.6,172.4,186.2,164.5,178.7,172.3,162.6,150.5,0,0,0,,221.6,194,190.4,182.1,181,172.2,163.1,140.7,0,0,0,,220.3,189.3,187.9,182.2,183.2,170.6,163.1,138.5,0,0,0
3.25,,223.7,165.6,197.8,164.8,193,180.7,161.6,148,0,0,0,,232.3,198.1,201.2,182.2,197.8,177,165.8,133.5,0,0,0,,226,194.9,202.7,187.4,193.1,177,167.3,132.1,0,0,0
3.3,,220.2,164.7,198.4,173.1,184.5,194.4,155.6,159.9,0,0,0,,222.8,178.3,210.2,197.1,188.3,190.3,144.5,146.1,0,0,0,,221.2,198.8,209,198.5,191.1,189.1,164.8,144.9,0,0,0
3.35,,226.9,180.7,197,163.1,162.5,186,178.5,160.6,0,0,0,,230.5,205.2,210.3,193.9,157.3,183.3,176.9,140.2,0,0,0,,229.4,203.9,206.9,192.5,176.9,183.4,176.3,140,0,0,0
3.4,,230.1,160.5,197.9,167.6,195.5,196.3,185.1,161.9,0,0,0,,232.1,201,206,193.5,177.1,188.5,178.1,142.6,0,0,0,,229.2,192.5,204,197.8,197,187.6,182,142.5,0,0,0
3.45,,225.6,165.8,185.9,173.9,195.2,193.5,177,165.1,0,0,0,,241.3,176.3,198.7,197.4,191.6,190.7,172.3,140.8,0,0,0,,225.8,198.3,201.3,197.8,194.1,189.8,172.6,141.4,0,0,0
3.5,,235.9,173.6,197.7,182.3,221.5,207.2,177.1,165,0,0,0,,#VALUE!,191.6,210,192.6,204.4,193.3,176.3,135.2,0,0,0,,236.7,194.6,205.8,193.1,199.4,192,176.8,135.5,0,0,0
3.55,,226.5,172.7,205,170.7,209.3,209.5,186.4,167,0,0,0,,#VALUE!,189.1,205.2,192.7,206.4,198.8,184.8,135.9,0,0,0,,226.6,195.5,203.8,193.6,204.7,198.8,184.2,135.9,0,0,0
3.6,,237,183.2,202.8,169,223.3,208.1,241.5,168.2,0,0,0,,#VALUE!,205.1,199.9,191.5,211.3,202.8,190.9,133.6,0,0,0,,231.2,185.9,201.6,192.4,208.4,199,191.4,134.5,0,0,0
3.65,,246.5,162.9,202.4,180.5,237.2,214.4,213.9,171.6,0,0,0,,#VALUE!,160.6,203.3,203.7,229.9,208.5,185.1,133.5,0,0,0,,242.2,178,197.1,195.4,222,200.4,182.3,133.7,0,0,0
3.7,,254.4,183.9,214.1,196.1,270,192.9,237.4,171.4,0,0,0,,#VALUE!,202,221.2,219.4,248.3,201.6,198.9,129,0,0,0,,236.5,180,212.5,206.2,236.1,192.2,194.6,128,0,0,0
3.75,,236,175,183,182,298.8,231.2,282.3,179.8,0,0,0,,#VALUE!,201,243,229.8,265.3,222,217.1,124.5,0,0,0,,219.5,177.5,215.3,214.3,242.3,200,205.5,122.7,0,0,0
3.8,,279,208,203.3,245.4,365.3,284.7,357.7,201,0,0,0,,#VALUE!,254.2,298.8,280,330,293.5,276.5,122.3,0,0,0,,236.7,194.8,237.3,233.1,273.3,237,247.1,111.5,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 3_1,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,-1.6,0,-0.2,-0.4,0,-0.1,0,0,0,0,,0,-1.6,0.1,0.4,-0.6,-0.1,-0.1,0,0,0,0,,0,-0.5,0,0,-0.3,0,-0.1,0,0,0,0
2.4,,-0.3,-3.1,-0.2,0.2,0.4,0,0,0.1,0,0,0,,0,-26.1,2.3,6.4,-0.4,0.1,1.4,0.1,0,0,0,,0,-1.4,0,0,0.2,0,0,0.1,0,0,0
2.5,,-0.9,0.4,-0.4,-0.3,0,0.1,0,0,0,0,0,,0,7.7,-0.6,4.5,-0.3,0.2,0,0,0,0,0,,0,0.9,-0.1,0,0,0.1,0,0,0,0,0
2.6,,-1.9,-5.5,0.3,0.1,0.1,-0.1,-0.1,-0.1,0,0,0,,-0.1,-37.7,0.8,0.9,1.4,0.3,0.1,-0.1,0,0,0,,-0.9,-1.7,0,0,0.1,-0.1,0,-0.1,0,0,0
2.7,,-1.6,2.5,1,0.6,-0.2,1.3,0.1,-0.2,0,0,0,,0.7,15.6,-1.6,-0.8,-1.1,1.2,-0.1,-0.2,0,0,0,,0.7,0.8,0.1,0.2,-0.3,0.7,-0.1,-0.2,0,0,0
2.8,,5.8,2.6,4.7,5,11.3,5.7,3.1,-1.8,0,0,0,,8.7,6.9,7.1,5.4,14.7,4.8,3,-24.6,0,0,0,,7,1.6,3.6,4.2,7.4,4.4,2.2,-0.8,0,0,0
2.85,,22.5,18.5,16,11.3,11.6,17.9,6.5,3.5,0,0,0,,21.6,36.3,14.8,13.5,14.1,15.1,7.7,4.2,0,0,0,,16.9,9,10.8,9,6.9,11.2,5.2,2.5,0,0,0
2.9,,46.4,30.3,38.2,27.3,31.2,37.4,22.1,14.8,0,0,0,,41.6,19.1,29.9,27.3,26.4,28.9,26.4,14,0,0,0,,36.7,24.5,27.9,20.2,22.8,27.2,14.6,10.7,0,0,0
2.95,,60.6,48.3,53.2,44.1,46.4,49.8,40.9,27.8,0,0,0,,52.2,41.9,47.5,35.5,42.3,44.2,35.4,25,0,0,0,,50.3,41.8,43.2,39.8,39.2,40.3,32.3,23.1,0,0,0
3,,96.8,77.8,83.2,59.7,70.5,89.7,52.7,34.9,0,0,0,,78.1,82.1,68.3,60.1,58.5,68,46.1,35.3,0,0,0,,71.5,62.6,62,57.6,56.6,63.3,43.1,32.6,0,0,0
3.05,,157.8,128.7,145.8,114.1,132.9,138.8,90.3,64.6,0,0,0,,123.8,104.6,110.1,99.8,220.6,102.3,72.2,53,0,0,0,,118.2,98.8,107.5,89.6,96.5,99.5,64.9,49.3,0,0,0
3.1,,186.6,167.6,169.2,145.7,154.2,161.4,135.3,102.7,0,0,0,,165,171.7,147.8,137.8,134.3,138.9,108.2,81.9,0,0,0,,162.4,151.1,142.3,132.3,131.8,136.3,104.5,79.5,0,0,0
3.15,,208.4,174.5,181.9,164,170.8,178.9,154.1,111.1,0,0,0,,199.9,176.7,173.1,176.5,162.8,166,141.1,105.7,0,0,0,,198,174,168.3,166.5,166.3,164.4,137.5,102.4,0,0,0
3.2,,208.4,179.9,195.3,169.9,180.9,180.8,162.5,129.2,0,0,0,,205.1,304.6,193.1,186.5,210.3,173.4,153.7,131.1,0,0,0,,204.1,186.3,189.6,182.1,174.5,172.7,156.5,129.8,0,0,0
3.25,,213.2,158.9,192.1,173.7,189.8,193.6,163.9,126.8,0,0,0,,213.1,177.9,192.4,191.6,183.6,186.4,161.8,132.9,0,0,0,,212.1,183.7,192.8,191.9,185.4,186.8,164.6,132.4,0,0,0
3.3,,224.7,180.2,188.9,163,175.5,199.7,158.1,133.7,0,0,0,,222.7,209.2,196.7,179.4,175.6,191.4,144.1,141.7,0,0,0,,222.1,204.2,196.3,185.7,176.4,191.2,164.9,141.5,0,0,0
3.35,,225.1,177.1,194,164.5,184.5,192.1,194,129,0,0,0,,223.2,196.9,200.2,186.8,171.4,185.3,189.7,142.8,0,0,0,,221.1,196.2,201,193.2,190.9,186.4,189.4,142.1,0,0,0
3.4,,236.5,164.2,201.7,174.5,201.9,201.5,177,135,0,0,0,,229.8,186.8,206.2,192.3,181.1,194.3,167.7,147.8,0,0,0,,230.2,189.5,204.9,201.6,200.3,194.7,172.4,148.8,0,0,0
3.45,,239.5,178,193.3,168.2,201.9,184.8,186.4,125.5,0,0,0,,238.3,202.1,206.2,190.9,194.7,181.2,179,140.7,0,0,0,,234.4,193.8,205.3,189.3,196.3,181.3,179.5,141.3,0,0,0
3.5,,244.3,189.8,192.7,177.5,203.2,210.1,186.3,117.6,0,0,0,,240.5,192.8,197.9,193.9,205,194.6,184.1,137.6,0,0,0,,241.3,196.7,196.4,188.2,206.1,192.7,184.7,138.6,0,0,0
3.55,,235.1,185.8,209.6,171.1,204.4,208.8,180.2,119.5,0,0,0,,233.8,188.8,205.7,195.4,207.5,195,181.2,141.1,0,0,0,,232.8,191.9,202.8,192.9,204.8,195.6,181.7,142,0,0,0
3.6,,267.3,175,199.9,185.4,217.8,239,203.5,118.7,0,0,0,,247.2,162.3,197.8,196.9,207,207.3,193.1,142.6,0,0,0,,244,173.4,197.7,196,205,203.6,195.6,143.1,0,0,0
3.65,,254.6,179.8,192.3,203.2,258.2,250.2,216.5,105.1,0,0,0,,242.9,170,194.2,208.1,227.9,221.2,195,132.4,0,0,0,,237.8,173.1,189.7,206.5,224.5,217.3,195.2,132.7,0,0,0
3.7,,255.5,192.6,246.8,193.2,289.8,242.9,243.5,98.3,0,0,0,,249.4,165.1,229.9,202.7,248.2,227.4,202.2,131.9,0,0,0,,235.2,178.7,222.8,204.3,239.1,220.1,200.7,130.8,0,0,0
3.75,,248.1,185.9,209.8,179,341.8,324.7,300.7,95.5,0,0,0,,248.6,185.9,238,208.4,278.3,248.4,220.8,133.6,0,0,0,,227,169.5,226.8,206,262.9,236,210.6,129.6,0,0,0
3.8,,299.3,212.9,206.6,247.3,431.7,372.5,353.8,77.7,0,0,0,,286.3,222,257.4,254.4,349.2,284,254.8,124.8,0,0,0,,237.9,191.2,229.3,225.5,318.6,257.6,234.7,120.3,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom 2_2,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,-3.6,1.6,5,-0.4,0,-0.1,0,0,0,0,,0,-3.5,14.9,18,19.1,0.5,-0.1,0,0,0,0,,0,-0.7,0.8,0.3,-0.3,0,-0.1,0,0,0,0
2.4,,-0.3,-4.6,1.4,3,0,0,0,0.2,0,0,0,,0,-30.1,7,3.2,8.3,0.8,-0.1,0.6,0,0,0,,0,-1.5,1.3,0,0,0,-0.1,0.2,0,0,0
2.5,,-0.9,-0.8,2.4,3.5,0.1,1,0,0,0,0,0,,0,8.2,13.6,12.8,8.5,1.2,0,0,0,0,0,,0,0,1.3,0.1,0,0.2,0,0,0,0,0
2.6,,-1.9,-3.9,3.4,4.6,0.1,0.5,-0.1,0,0,0,0,,0.4,-10.2,23.2,16,13.2,0.3,0,0.1,0,0,0,,-0.8,-1.2,1.1,0.6,0,0,0,0,0,0,0
2.7,,-1.7,-0.3,2.3,8.1,0.9,0.3,-0.1,8.5,0,0,0,,1.8,15.9,10.1,36.9,25,1.7,-0.1,22.6,0,0,0,,0.6,-0.4,1.1,0.9,0.5,0.2,-0.3,4.4,0,0,0
2.8,,4.8,4.8,8.8,38.9,9.5,2,3.4,-1.1,0,0,0,,10.6,12.3,21,250.2,24.1,2.1,4,-23.8,0,0,0,,6.7,3.3,6,20.5,7.3,1.2,2.1,0.1,0,0,0
2.85,,20.2,11.9,22.9,81.9,19.7,9.1,4.6,4.5,0,0,0,,21.3,24.4,36,155.3,29.9,7.3,7,4.8,0,0,0,,16.3,9.7,14.7,45,12.8,5.2,4.2,2.4,0,0,0
2.9,,43.5,29.6,44.9,37.9,41.3,23.7,20.3,17.5,0,0,0,,39.2,23.6,51.5,45.4,51,20,16.3,12.7,0,0,0,,35.8,24.5,34.6,25.8,33.5,16,13.2,10.8,0,0,0
2.95,,63.4,49.3,62.2,57.5,60.4,45.3,40.7,31.6,0,0,0,,62.3,45.7,67.4,50.2,66.9,40.7,35.7,26.6,0,0,0,,57.8,43.7,50.5,46.2,51.4,35.6,32.4,24.5,0,0,0
3,,100.2,66.5,93.3,71.9,85.3,62.4,53.6,39.3,0,0,0,,88.9,64.9,98.3,71.9,89.3,55.6,48.2,37.4,0,0,0,,83.5,58.2,73.9,62,70.2,51.9,45.5,35.9,0,0,0
3.05,,161.4,121.4,151.3,130,156.9,110.5,90.9,80.6,0,0,0,,201.6,120.6,130.6,148.7,146,83.7,77.6,73.5,0,0,0,,132.1,93.9,114.1,99.9,118.7,81.3,71,62.4,0,0,0
3.1,,191,166.2,184.9,170.5,174.6,153,132.8,111.1,0,0,0,,178.7,156.7,182.8,159.3,182.4,120.3,107.9,90.6,0,0,0,,175.7,148.3,159.7,151,157.2,115.4,104.7,88.7,0,0,0
3.15,,207.3,191,206.5,192,184.4,181.8,168.5,140,0,0,0,,210.6,233,214.4,211.8,195.7,161.6,153.2,131.2,0,0,0,,202,187.7,191.6,190,183.3,159.4,150.1,128,0,0,0
3.2,,225.5,182.7,209.2,189.4,204,195.5,179.1,150.6,0,0,0,,228.7,183.6,216.3,219.2,206.4,190.1,171.7,150.5,0,0,0,,226.8,201.7,203.6,198.3,199.2,187.2,172.7,150.3,0,0,0
3.25,,221.5,163.8,214.5,188.9,216.1,194.6,172.2,142.7,0,0,0,,229.8,189.5,224,207.5,214.4,192.6,171.6,146.6,0,0,0,,225.9,191.6,216,205.4,206.7,190.4,173.4,146.6,0,0,0
3.3,,219.8,187.1,208.9,194.4,206.9,196.9,173.5,154.8,0,0,0,,228.6,217.6,230.4,217.9,207.4,198.1,158.7,160.5,0,0,0,,223.7,217.8,211,212.8,199.8,196.2,176.9,160.8,0,0,0
3.35,,216.8,195.9,223.7,192,222.9,201.8,195.1,145.3,0,0,0,,227.4,225.4,242.6,235.1,196.2,200.1,189.3,153.4,0,0,0,,220.1,217.7,221.7,217.9,203.6,201.4,189.3,153.8,0,0,0
3.4,,254.2,181.4,241.9,185.6,224.7,203.4,201.1,141,0,0,0,,407.8,211.3,250.5,263.8,200.3,206.1,189.1,152.2,0,0,0,,244.7,214.3,231,205.7,208.5,205.9,193,153.5,0,0,0
3.45,,234,183.2,242.3,192.4,237.6,196.4,184.2,151.1,0,0,0,,251.2,216.6,245.7,218.8,225.8,202.6,181.7,158.4,0,0,0,,241,207.6,235.7,213.1,217.2,203,181.8,159.1,0,0,0
3.5,,220,203.1,241.4,201.9,254.7,206.1,202.4,153.5,0,0,0,,236.5,218.5,250.1,218.5,238.6,210.1,200.4,162,0,0,0,,229,218.4,231,209,224.4,209.1,198.5,163.1,0,0,0
3.55,,217.5,184.4,262.8,191.2,259.2,196.6,199.2,154,0,0,0,,243.3,202.2,257.2,229.4,244.2,203.2,204,162.1,0,0,0,,229.5,204.3,241.9,212.6,227.4,203.7,203.1,163,0,0,0
3.6,,219.3,175.5,258.9,192.7,271,198.6,216.7,163.1,0,0,0,,244.5,178,231.2,233.7,257.5,204.4,202,164.2,0,0,0,,229.6,191.2,216.5,212.3,232.5,202.7,200.6,165.3,0,0,0
3.65,,223.8,153.6,309.4,210.4,291.9,188.2,222.7,148.6,0,0,0,,269.4,164.9,274.6,226.1,293,208.7,206.6,152.8,0,0,0,,236.6,180.2,254.9,214.2,245.8,206.7,203.8,153.7,0,0,0
3.7,,220,153.5,323.9,196.2,396.1,156.9,227.7,162.9,0,0,0,,265.2,188.6,285.8,222.3,368.5,204.1,212.2,170.4,0,0,0,,229.2,176.4,262.1,212.5,263.5,198.8,205,170,0,0,0
3.75,,214.1,153.5,339.1,199.7,466.5,152,241,152.5,0,0,0,,267.9,177.4,337.3,261,451.2,190.1,211.7,167.1,0,0,0,,216.2,168.9,292.9,224,317.2,180.7,200.3,164.5,0,0,0
3.8,,260.9,175.9,344,233,528.7,107.7,279.7,145.9,0,0,0,,325,190,345.6,278.7,568.4,173.9,227.4,168,0,0,0,,236.7,180.8,287.1,234.1,354.6,157.6,200.1,158.4,0,0,0
