Hole,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak
None,375.9,356,,,263.4,,,,,,
Irr (1_1),1305.5,,,,,,,,,,
Irr (1_2),1390.3,,,,,,,,,,
Irr (2_1),1323.9,1236,1235.7,1173.2,1237.5,1055.3,1080.9,1075.9,,0,0
Irr (2_2),1396.1,1303.2,1306.1,1231.1,1301.5,1114.7,1082,1120.6,0,0,0
Irr (3_1),1293.1,1207.1,1216.2,1146.6,1217.8,1031.8,1128.1,1056.9,0,0,0
Irr (3_2),1323.4,1236.8,1247.1,1184.7,1235.1,1069.7,1062.8,1077.3,0,0,0
Ref (1_1),1360.6,,,,,,,,,,
Ref (1_2),1436.4,,,,,,,,,,
Ref (2_1),1386.7,,,,,,,,,,
Ref (2_2),1384.5,1115.8,1150.5,1146.9,1378.8,1142.6,1086.7,1038,0,0,0
Ref (3_1),1397,1142.7,1188.5,1140.7,1367.8,1145.5,1087,1052.8,0,0,0
Ref (3_2),1370.1,,,,,,,,,,
