No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
3.8,,116,390.9,423.5,239.4,316,310.9,158.1,131.3,52.1,0,0,,77.9,298.7,219.8,137.7,155.6,157.3,94.9,79.3,41.1,0,0,,74,222.5,198.5,119.7,144,145.2,84,68.3,33.9,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background Subtracted and Source Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 2_2,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-0.345374558,0,-0.128817305,0,0,0,0
2.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.1,-2.1588252,0,0,0.115124853,0,0,0.413407677,0.141782049,0,0
2.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,-0.1,0.21588252,-0.109079372,0,0,0,0,0,0.141782049,0,0
2.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,-1,-1.0794126,0,0,0,-0.118272102,0,-0.137802559,-0.283564097,0,0
2.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.5,-0.21588252,0,0.220458967,0.575624263,0.473088409,-0.386451915,-0.275605118,0,0,0
2.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,8,5.18118048,5.563047961,4.629638311,5.065493511,6.741509828,5.53914412,0.689012796,2.410294827,0,0
2.85,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,20.3,19.53736806,14.83479456,10.36157146,14.04523201,14.19265227,9.532480579,4.960892128,5.954846043,0,0
